Time,Op,Fn,FnRepr,Parameters,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,fun,10,10,0.86,0.01,22664
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,fun,15,15,4.77,0.05,85912
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,fun,20,20,28.53,0.20,473572
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,fun,25,25,281.50,1.65,2793936
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,fun,10,10,42.26,0.12,38360
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,fun,12,12,152.08,0.37,124180
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,fun,14,14,628.31,1.86,473220
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,ball,10,10,1.11,0.01,25596
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,ball,15,15,5.97,0.06,98372
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,ball,20,20,40.13,0.26,538744
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,ball,25,25,324.26,2.08,3038336
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,ball,10,10,39.36,0.15,36028
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,ball,12,12,154.76,0.45,125292
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,ball,14,14,623.05,1.93,466288
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,dball,10,10,0.14,0.01,9548
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,dball,15,15,0.18,0.01,9836
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,dball,20,20,0.18,0.01,9992
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,dball,25,26,0.22,0.01,10336
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,dball,30,30,0.25,0.01,10516
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,dball,10,10,0.88,0.01,9008
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,dball,12,12,1.47,0.01,9080
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,dball,14,14,2.94,0.02,10364
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,dball,16,16,5.52,0.01,12060
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,dball,18,18,10.62,0.02,15096
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,dball,20,20,24.54,0.06,22492
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,poly,10,10,1.20,0.02,19652
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,poly,15,15,1.64,0.01,21232
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,poly,20,19,1.83,0.01,22764
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,poly,25,23,2.16,0.01,22616
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,poly,30,24,2.68,0.01,24340
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,poly,10,9,0.27,0.01,19408
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,poly,12,10,0.28,0.01,19460
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,poly,14,12,0.29,0.01,20740
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,poly,16,14,0.31,0.01,20728
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,poly,18,17,0.35,0.01,20812
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,poly,20,18,0.36,0.01,22360
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,lpoly,10,10,0.76,0.01,14140
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,lpoly,15,15,1.28,0.01,13756
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,lpoly,20,20,1.30,0.01,13812
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,lpoly,25,26,1.76,0.01,14624
Mon Mar 27 22:34:00 BST 2017,max,sine+cos,lpoly,30,30,1.90,0.01,14704
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,lpoly,10,14,0.43,0.01,11940
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,lpoly,12,17,0.56,0.01,11632
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,lpoly,14,19,0.58,0.01,11744
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,lpoly,16,22,0.76,0.01,11672
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,lpoly,18,24,0.82,0.01,12184
Mon Mar 27 22:34:00 BST 2017,integrate,sine+cos,lpoly,20,26,0.92,0.01,12040
Mon Mar 27 22:34:00 BST 2017,max,sinesine,fun,10,10,7.18,0.05,55492
Mon Mar 27 22:34:00 BST 2017,max,sinesine,fun,15,15,37.27,0.15,245512
Mon Mar 27 22:34:00 BST 2017,max,sinesine,fun,20,20,346.16,1.31,1398952
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,fun,5,5,43.93,0.10,21740
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,fun,7,7,142.92,0.36,58616
Mon Mar 27 22:34:00 BST 2017,max,sinesine,ball,10,10,0.16,0.01,10644
Mon Mar 27 22:34:00 BST 2017,max,sinesine,ball,15,15,0.18,0.01,10748
Mon Mar 27 22:34:00 BST 2017,max,sinesine,ball,20,20,0.22,0.01,11056
Mon Mar 27 22:34:00 BST 2017,max,sinesine,ball,25,25,0.24,0.01,11140
Mon Mar 27 22:34:00 BST 2017,max,sinesine,ball,30,30,0.30,0.01,11692
Mon Mar 27 22:34:00 BST 2017,max,sinesine,ball,35,35,0.30,0.01,11760
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,ball,05,5,1.20,0.01,9704
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,ball,10,10,35.58,0.08,41284
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,ball,15,15,1174.83,3.66,1059968
Mon Mar 27 22:34:00 BST 2017,max,sinesine,dball,10,10,0.26,0.01,10176
Mon Mar 27 22:34:00 BST 2017,max,sinesine,dball,15,15,0.26,0.01,10208
Mon Mar 27 22:34:00 BST 2017,max,sinesine,dball,20,20,0.30,0.01,10492
Mon Mar 27 22:34:00 BST 2017,max,sinesine,dball,25,25,0.28,0.01,10464
Mon Mar 27 22:34:00 BST 2017,max,sinesine,dball,30,30,0.32,0.01,10280
Mon Mar 27 22:34:00 BST 2017,max,sinesine,dball,35,35,0.32,0.01,10404
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,dball,05,6,0.51,0.01,9388
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,dball,10,10,1.27,0.01,9256
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,dball,15,15,6.86,0.02,11660
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,dball,20,20,39.98,0.10,28392
Mon Mar 27 22:34:00 BST 2017,integrate,sinesine,dball,25,25,216.99,0.73,120572
Mon Mar 27 22:34:01 BST 2017,integrate,sinesine,dball,30,30,1185.35,3.85,656164
Mon Mar 27 22:34:01 BST 2017,max,sinesine,poly,10,5,20.42,0.14,312996
Mon Mar 27 22:34:01 BST 2017,max,sinesine,poly,15,10,27.58,0.21,418960
Mon Mar 27 22:34:01 BST 2017,max,sinesine,poly,20,15,34.77,0.33,528028
Mon Mar 27 22:34:01 BST 2017,max,sinesine,poly,25,20,46.02,0.47,656544
Mon Mar 27 22:34:01 BST 2017,max,sinesine,poly,30,25,57.22,0.59,781384
